Year,Month,Day,station,PromDiario,Max,Min,indice,Zona
2020,11,26,ACO,44.0,93.0,21.0,55.324,NE
2020,11,27,ACO,54.0,79.0,26.0,69.735,NE
2020,11,28,ACO,80.0,158.0,39.0,102.42,NE
2020,11,29,ACO,72.0,134.0,46.0,95.676,NE
2020,11,30,ACO,70.0,187.0,25.0,92.794,NE
2020,12,4,ACO,58.0,153.0,29.0,75.5,NE
2020,12,8,ACO,18.0,33.0,5.0,22.5,NE
2020,12,9,ACO,29.0,48.0,12.0,36.25,NE
2020,12,10,ACO,33.0,78.0,9.0,41.25,NE
2020,12,11,ACO,73.0,144.0,40.0,97.118,NE
2020,12,12,ACO,51.0,84.0,24.0,65.412,NE
2020,12,13,ACO,53.0,103.0,25.0,68.294,NE
2020,12,14,ACO,57.0,118.0,18.0,74.059,NE
2020,12,15,ACO,58.0,119.0,31.0,75.5,NE
2020,12,16,ACO,71.0,104.0,41.0,94.235,NE
2020,12,17,ACO,54.0,95.0,23.0,69.735,NE
2020,12,18,ACO,57.0,96.0,22.0,74.059,NE
2020,12,19,ACO,64.0,102.0,32.0,84.147,NE
2020,12,20,ACO,57.0,106.0,37.0,74.059,NE
2020,12,21,ACO,71.0,117.0,31.0,94.235,NE
2020,12,22,ACO,69.0,145.0,46.0,91.353,NE
2020,12,23,ACO,78.0,150.0,45.0,101.71,NE
2020,12,24,ACO,81.0,150.0,26.0,102.775,NE
2020,12,25,ACO,61.0,97.0,36.0,79.824,NE
2020,12,26,ACO,64.0,117.0,40.0,84.147,NE
2020,12,27,ACO,53.0,81.0,31.0,68.294,NE
2020,12,28,ACO,52.0,104.0,8.0,66.853,NE
2020,12,29,ACO,86.0,182.0,40.0,104.551,NE
2020,12,30,ACO,128.0,243.0,37.0,119.464,NE
2020,12,31,ACO,109.0,311.0,33.0,112.717,NE
2019,1,1,AJM,36.0,91.0,7.0,45.0,SO
2019,1,2,AJM,29.0,52.0,9.0,36.25,SO
2019,1,3,AJM,47.0,62.0,21.0,59.647,SO
2019,1,4,AJM,47.0,72.0,29.0,59.647,SO
2019,1,5,AJM,33.0,73.0,12.0,41.25,SO
2019,1,6,AJM,20.0,39.0,9.0,25.0,SO
2019,1,7,AJM,17.0,24.0,8.0,21.25,SO
2019,1,8,AJM,27.0,51.0,16.0,33.75,SO
2019,1,9,AJM,28.0,50.0,16.0,35.0,SO
2019,1,10,AJM,18.0,39.0,4.0,22.5,SO
2019,1,11,AJM,36.0,61.0,13.0,45.0,SO
2019,1,12,AJM,31.0,84.0,10.0,38.75,SO
2019,1,13,AJM,31.0,59.0,15.0,38.75,SO
2019,1,14,AJM,37.0,55.0,23.0,46.25,SO
2019,1,15,AJM,53.0,79.0,21.0,68.294,SO
2019,1,16,AJM,48.0,81.0,29.0,61.088,SO
2019,1,17,AJM,48.0,68.0,30.0,61.088,SO
2019,1,18,AJM,33.0,55.0,19.0,41.25,SO
2019,1,19,AJM,41.0,84.0,14.0,51.0,SO
2019,1,20,AJM,38.0,61.0,21.0,47.5,SO
2019,1,21,AJM,44.0,81.0,20.0,55.324,SO
2019,1,22,AJM,26.0,50.0,8.0,32.5,SO
2019,1,23,AJM,25.0,46.0,5.0,31.25,SO
2019,1,24,AJM,27.0,45.0,13.0,33.75,SO
2019,1,25,AJM,25.0,52.0,9.0,31.25,SO
2019,1,26,AJM,23.0,36.0,8.0,28.75,SO
2019,1,27,AJM,19.0,31.0,7.0,23.75,SO
2019,1,28,AJM,31.0,49.0,18.0,38.75,SO
2019,1,29,AJM,41.0,75.0,16.0,51.0,SO
2019,1,30,AJM,28.0,45.0,10.0,35.0,SO
2019,1,31,AJM,24.0,46.0,8.0,30.0,SO
2019,2,1,AJM,43.0,72.0,13.0,53.882,SO
2019,2,2,AJM,46.0,71.0,19.0,58.206,SO
2019,2,3,AJM,37.0,57.0,25.0,46.25,SO
2019,2,4,AJM,44.0,77.0,24.0,55.324,SO
2019,2,5,AJM,29.0,70.0,11.0,36.25,SO
2019,2,6,AJM,12.0,20.0,5.0,15.0,SO
2019,2,7,AJM,15.0,24.0,4.0,18.75,SO
2019,2,8,AJM,32.0,66.0,13.0,40.0,SO
2019,2,9,AJM,29.0,49.0,18.0,36.25,SO
2019,2,10,AJM,16.0,35.0,4.0,20.0,SO
2019,2,12,AJM,40.0,68.0,18.0,50.0,SO
2019,2,22,AJM,15.0,22.0,1.0,18.75,SO
2019,2,23,AJM,27.0,48.0,4.0,33.75,SO
2019,2,24,AJM,26.0,38.0,18.0,32.5,SO
2019,2,25,AJM,34.0,65.0,8.0,42.5,SO
2019,2,26,AJM,24.0,42.0,15.0,30.0,SO
2019,2,27,AJM,24.0,39.0,5.0,30.0,SO
2019,2,28,AJM,31.0,46.0,11.0,38.75,SO
2019,3,1,AJM,46.0,65.0,20.0,58.206,SO
2019,3,2,AJM,42.0,65.0,29.0,52.441,SO
2019,3,3,AJM,35.0,51.0,21.0,43.75,SO
2019,3,4,AJM,42.0,70.0,19.0,52.441,SO
2019,3,5,AJM,40.0,59.0,19.0,50.0,SO
2019,3,6,AJM,17.0,48.0,5.0,21.25,SO
