Year,Month,Day,station,PromDiario,Max,Min,indice,Zona
2020,7,3,AJM,38.0,74.0,14.0,89.574,SO
2020,8,1,AJM,23.0,34.0,13.0,67.234,SO
2020,8,3,AJM,19.0,36.0,8.0,61.277,SO
2020,9,1,AJM,17.0,29.0,2.0,58.298,SO
2020,9,3,AJM,20.0,32.0,10.0,62.766,SO
2020,10,1,AJM,10.0,19.0,3.0,41.667,SO
2020,10,3,AJM,23.0,45.0,9.0,67.234,SO
2020,11,1,AJM,11.0,21.0,3.0,45.833,SO
2020,11,3,AJM,21.0,40.0,10.0,64.255,SO
2020,12,1,AJM,18.0,44.0,6.0,59.787,SO
2020,12,3,AJM,15.0,27.0,5.0,55.319,SO
2019,1,1,AJU,15.0,35.0,3.0,55.319,SO
2019,1,2,AJU,11.0,28.0,1.0,45.833,SO
2019,1,5,AJU,21.0,61.0,6.0,64.255,SO
2019,1,7,AJU,8.0,25.0,1.0,33.333,SO
2019,1,11,AJU,15.0,38.0,3.0,55.319,SO
2019,1,26,AJU,12.0,30.0,4.0,50.0,SO
2019,1,27,AJU,13.0,36.0,2.0,52.34,SO
2019,1,28,AJU,14.0,32.0,5.0,53.83,SO
2019,1,29,AJU,16.0,30.0,6.0,56.809,SO
2019,1,30,AJU,10.0,22.0,1.0,41.667,SO
2019,1,31,AJU,12.0,26.0,3.0,50.0,SO
2019,2,1,AJU,9.0,21.0,1.0,37.5,SO
2019,2,2,AJU,18.0,38.0,6.0,59.787,SO
2019,2,5,AJU,20.0,35.0,5.0,62.766,SO
2019,2,7,AJU,7.0,14.0,1.0,29.167,SO
2019,2,11,AJU,18.0,35.0,2.0,59.787,SO
2019,2,12,AJU,17.0,29.0,1.0,58.298,SO
2019,2,13,AJU,20.0,35.0,7.0,62.766,SO
2019,2,14,AJU,17.0,37.0,9.0,58.298,SO
2019,2,15,AJU,14.0,24.0,1.0,53.83,SO
2019,2,16,AJU,17.0,31.0,7.0,58.298,SO
2019,2,17,AJU,14.0,27.0,1.0,53.83,SO
2019,2,18,AJU,11.0,21.0,3.0,45.833,SO
2019,2,19,AJU,9.0,22.0,2.0,37.5,SO
2019,3,1,AJU,15.0,44.0,1.0,55.319,SO
2019,3,2,AJU,17.0,36.0,4.0,58.298,SO
2019,3,5,AJU,27.0,40.0,17.0,73.191,SO
2019,3,12,AJU,18.0,30.0,5.0,59.787,SO
2019,4,1,AJU,17.0,38.0,4.0,58.298,SO
2019,4,2,AJU,20.0,33.0,8.0,62.766,SO
