FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,CUA,CUT,FAC,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
17/02/2018,10,29,-99,26,44,29,-99,-99,-99,-99,36,-99,15,32,44,-99,-99,-99,-99,40,15,-99,69,21,-99,43
17/02/2018,11,33,-99,38,45,27,-99,-99,-99,-99,34,-99,13,46,46,-99,-99,-99,-99,48,-99,-99,69,28,-99,42
17/02/2018,12,28,-99,41,44,27,-99,-99,-99,-99,42,-99,5,36,33,-99,-99,-99,-99,44,-99,-99,55,22,-99,54
17/02/2018,13,21,-99,23,26,35,-99,-99,-99,-99,51,-99,18,56,21,-99,-99,-99,-99,45,18,-99,37,21,-99,57
17/02/2018,14,21,-99,24,12,21,-99,-99,-99,-99,36,-99,19,32,16,-99,-99,-99,-99,24,16,-99,29,12,-99,27
17/02/2018,15,21,-99,24,14,17,-99,-99,-99,-99,21,-99,20,25,22,-99,-99,-99,-99,32,20,-99,27,18,-99,23
17/02/2018,16,25,-99,20,18,18,-99,-99,-99,-99,22,-99,26,22,20,-99,-99,-99,-99,38,23,-99,22,23,-99,26
17/02/2018,17,24,-99,22,24,19,-99,-99,-99,-99,26,-99,21,-99,21,-99,-99,-99,-99,29,32,-99,33,19,-99,22
17/02/2018,18,21,-99,29,26,20,-99,-99,-99,-99,24,-99,23,27,27,-99,-99,-99,-99,27,39,-99,26,17,-99,21
17/02/2018,19,28,-99,24,27,27,-99,-99,-99,-99,25,-99,20,27,25,-99,-99,-99,-99,17,28,-99,22,29,-99,17
17/02/2018,20,27,-99,19,23,37,-99,-99,-99,-99,15,-99,16,13,17,-99,-99,-99,-99,13,25,-99,17,32,-99,16
17/02/2018,21,19,-99,15,12,21,-99,-99,-99,-99,17,-99,21,17,11,-99,-99,-99,-99,19,19,-99,15,26,-99,15
17/02/2018,22,16,-99,13,22,19,-99,-99,-99,-99,17,-99,18,16,14,-99,-99,-99,-99,18,26,-99,5,31,-99,18
17/02/2018,23,19,-99,9,19,17,-99,-99,-99,-99,12,-99,19,13,20,-99,-99,-99,-99,14,23,-99,10,12,-99,13
17/02/2018,24,16,-99,22,24,19,-99,-99,-99,-99,15,-99,13,13,15,-99,-99,-99,-99,22,19,-99,18,16,-99,16
18/02/2018,1,12,-99,20,31,26,-99,-99,-99,-99,22,-99,11,28,17,-99,-99,-99,-99,22,14,-99,14,28,-99,25
18/02/2018,2,11,-99,21,24,17,-99,-99,-99,-99,26,-99,7,17,16,-99,-99,-99,-99,38,13,-99,15,36,-99,34
18/02/2018,3,11,-99,17,19,16,-99,-99,-99,-99,24,-99,9,21,12,-99,-99,-99,-99,16,12,-99,16,31,-99,43
18/02/2018,4,12,-99,13,14,13,-99,-99,-99,-99,24,-99,11,19,15,-99,-99,-99,-99,32,10,-99,19,41,-99,22
18/02/2018,5,11,-99,18,13,14,-99,-99,-99,-99,27,-99,10,21,14,-99,-99,-99,-99,26,11,-99,20,36,-99,28
18/02/2018,6,12,-99,21,16,16,-99,-99,-99,-99,29,-99,10,29,13,-99,-99,-99,-99,36,10,-99,14,30,-99,22
18/02/2018,7,19,-99,22,21,20,-99,-99,-99,-99,30,-99,11,25,16,-99,-99,-99,-99,40,9,-99,27,32,-99,31
18/02/2018,8,21,-99,27,28,15,-99,-99,-99,-99,30,-99,11,42,21,-99,-99,-99,-99,45,16,-99,23,36,-99,28
18/02/2018,9,26,-99,39,42,23,-99,-99,-99,-99,47,-99,11,51,23,-99,-99,-99,-99,52,19,-99,31,34,-99,43
18/02/2018,10,39,-99,45,42,37,-99,-99,-99,-99,49,-99,17,50,42,-99,-99,-99,-99,41,27,-99,44,33,-99,44
18/02/2018,11,38,-99,52,49,42,-99,-99,-99,-99,46,-99,23,46,49,-99,-99,-99,-99,38,45,-99,54,48,-99,43
18/02/2018,12,42,-99,52,52,48,-99,-99,-99,-99,45,-99,21,52,-99,-99,-99,-99,-99,35,47,-99,55,38,-99,41
18/02/2018,13,36,-99,42,44,46,-99,-99,-99,-99,43,-99,31,34,-99,-99,-99,-99,-99,45,37,-99,49,25,-99,44
